Tool_Name,Lowest,Highest
bowtie2,10
Bowtie,10
bwa,30

graphmap,90
lordfast
minialign,50
minimap2,50
ngmlr,20
ngm,20

smalt,30
FASTQSNAP,50





